Date,Venue,Location,Postcode,Players signed up,Players at last set champ,Travel time,Route link,Event link,Last set champ link,Price,Created
2026-06-20,Hull Pops Gaming Centre,"Unit 26 Priory Tec Pk, Saxon Way, Hessle, England, HU13 9PB, GB",HU13 9PB,11,12,2h 27m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=Unit%2026%20Priory%20Tec%20Pk%2C%20Saxon%20Way%2C%20Hessle%2C%20England%2C%20HU13%209PB%2C%20GB,https://tcg.ravensburgerplay.com/events/604282,https://tcg.ravensburgerplay.com/events/347311,£15.00,2026-06-15T00:21:52.409240
2026-06-20,The Nerd Hut,"11 Tavern Street, Unit 24, Sailmakers, Ipswich, England, IP1 3BB, GB",IP1 3BB,4,13,2h 48m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=11%20Tavern%20Street%2C%20Unit%2024%2C%20Sailmakers%2C%20Ipswich%2C%20England%2C%20IP1%203BB%2C%20GB,https://tcg.ravensburgerplay.com/events/604552,https://tcg.ravensburgerplay.com/events/405765,£0.00,2026-06-15T00:21:45.223514
2026-06-20,ace comics southend,"28 Clarence Street, GROUND FLOOR, SOUTHEND-ON-SEA, England, SS11BD, GB",SS11BD,14,8,2h 54m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=28%20Clarence%20Street%2C%20GROUND%20FLOOR%2C%20SOUTHEND-ON-SEA%2C%20England%2C%20SS11BD%2C%20GB,https://tcg.ravensburgerplay.com/events/607199,https://tcg.ravensburgerplay.com/events/435180,£10.00,2026-06-15T00:21:45.769323
2026-06-20,The Ludoquist,"63-67 High Street, London, England, CR0 1QE, GB",CR0 1QE,4,11,2h 55m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=63-67%20High%20Street%2C%20London%2C%20England%2C%20CR0%201QE%2C%20GB,https://tcg.ravensburgerplay.com/events/594399,https://tcg.ravensburgerplay.com/events/472836,£0.20,2026-06-15T00:21:46.948269
2026-06-20,Zatu Gaming Centre,"40 Barnard Road, Bowthorpe Employment Area, England, NR5 9JB, GB",NR5 9JB,9,13,3h 0m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=40%20Barnard%20Road%2C%20Bowthorpe%20Employment%20Area%2C%20England%2C%20NR5%209JB%2C%20GB,https://tcg.ravensburgerplay.com/events/594966,https://tcg.ravensburgerplay.com/events/280166,£15.00,2026-06-15T00:21:42.893759
2026-06-20,Famous Collectables,"19 Western Road, Bexhill-on-Sea, England, TN40 1DU, GB",TN40 1DU,15,9,3h 46m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=19%20Western%20Road%2C%20Bexhill-on-Sea%2C%20England%2C%20TN40%201DU%2C%20GB,https://tcg.ravensburgerplay.com/events/645402,https://tcg.ravensburgerplay.com/events/465587,£15.00,2026-06-15T00:21:53.435651
2026-06-20,Bay Games ltd,"78 - 84 park view, Whitley Bay, NE26 2TH, GB",NE26 2TH,16,8,3h 58m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=78%20-%2084%20park%20view%2C%20Whitley%20Bay%2C%20NE26%202TH%2C%20GB,https://tcg.ravensburgerplay.com/events/616580,https://tcg.ravensburgerplay.com/events/380784,£0.00,2026-06-06T22:02:28.341474
2026-06-20,Roll The Dice Cornwall C.I.C.,"8 Coinagehall St, Helston, England, TR13 8EB, GB",TR13 8EB,18,8,5h 4m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=8%20Coinagehall%20St%2C%20Helston%2C%20England%2C%20TR13%208EB%2C%20GB,https://tcg.ravensburgerplay.com/events/487405,https://tcg.ravensburgerplay.com/events/412513,£15.00,2026-06-15T00:21:44.641636
2026-06-20,Accent Gaming,"179, St Clair St, Kirkcaldy, Scotland, KY1 2BX, GB",KY1 2BX,24,5,5h 57m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=179%2C%20St%20Clair%20St%2C%20Kirkcaldy%2C%20Scotland%2C%20KY1%202BX%2C%20GB,https://tcg.ravensburgerplay.com/events/604514,https://tcg.ravensburgerplay.com/events/460886,£15.00,2026-06-15T00:21:48.682561
2026-06-20,Northern Card Gaming,"142 Frances Street, Ards and North Down, Newtownards, Northern Ireland, BT23 7DY, GB",BT23 7DY,12,13,8h 42m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=142%20Frances%20Street%2C%20Ards%20and%20North%20Down%2C%20Newtownards%2C%20Northern%20Ireland%2C%20BT23%207DY%2C%20GB,https://tcg.ravensburgerplay.com/events/490063,https://tcg.ravensburgerplay.com/events/418920,£20.00,2026-06-15T00:21:50.543087

2026-06-21,Geek Retreat Dudley,"195 High Street, Dudley, West Midlands, DY1 1QE, GB",DY1 1QE,15,8,21m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=195%20High%20Street%2C%20Dudley%2C%20West%20Midlands%2C%20DY1%201QE%2C%20GB,https://tcg.ravensburgerplay.com/events/609862,https://tcg.ravensburgerplay.com/events/449042,£10.00,2026-06-15T00:21:57.089504
2026-06-21,Manaforge Games,"5, Babington Ln, Derby, England, DE1 1SU, GB",DE1 1SU,17,8,54m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=5%2C%20Babington%20Ln%2C%20Derby%2C%20England%2C%20DE1%201SU%2C%20GB,https://tcg.ravensburgerplay.com/events/622469,https://tcg.ravensburgerplay.com/events/428703,£0.12,2026-06-15T00:21:57.725109
2026-06-21,Black Dragon Games Ltd,"17 Burton Street, Melton Mowbray, England, le13 1ae, GB",LE13 1AE,16,34,1h 13m,https://www.google.com/maps/dir/?api=1&origin=B4%207LN&destination=17%20Burton%20Street%2C%20Melton%20Mowbray%2C%20England%2C%20le13%201ae%2C%20GB,https://tcg.ravensburgerplay.com/events/483955,https://tcg.ravensburgerplay.com/events/448962,£15.99,2026-06-15T00:21:54.631977
