Date,Type,Venue,Location,Postcode,Players signed up,Players at last set champ,Travel time,Route link,Event link,Last set champ link,Price,Created
2026-07-23,Attack of the Vine Prerelease (Sealed),Dark Fire Cafe,"Unit 8, The Gavel Centre, Porters Wood, Hertfordshire, England, AL3 6PQ, GB",AL3 6PQ,18,N/A,3h 28m,https://www.google.com/maps/dir/?api=1&origin=M40%200FS&destination=Unit%208%2C%20The%20Gavel%20Centre%2C%20Porters%20Wood%2C%20Hertfordshire%2C%20England%2C%20AL3%206PQ%2C%20GB,https://tcg.ravensburgerplay.com/events/733229,,£30.00,2026-07-18T01:59:52.131745
2026-07-23,Attack of the Vine Prerelease (Sealed),G3 Toys,"High Street, Unit 33, The Sovereign, Weston-Super-Mare, England, BS23 1HL, GB",BS23 1HL,11,N/A,3h 37m,https://www.google.com/maps/dir/?api=1&origin=M40%200FS&destination=High%20Street%2C%20Unit%2033%2C%20The%20Sovereign%2C%20Weston-Super-Mare%2C%20England%2C%20BS23%201HL%2C%20GB,https://tcg.ravensburgerplay.com/events/700623,,£35.00,2026-07-18T01:59:37.479251
2026-07-23,Attack of the Vine Prerelease (Sealed),Zombie Games Cafe,"15 Cricklewood Broadway, London, England, NW2 3JX, GB",NW2 3JX,16,N/A,3h 44m,https://www.google.com/maps/dir/?api=1&origin=M40%200FS&destination=15%20Cricklewood%20Broadway%2C%20London%2C%20England%2C%20NW2%203JX%2C%20GB,https://tcg.ravensburgerplay.com/events/677441,,£35.00,2026-07-18T01:59:48.223924
2026-07-23,Attack of the Vine Prerelease (Sealed),Dark Sphere,"W12 Shopping Centre, Unit 8, Greater London, England, W12 8PP, GB",W12 8PP,13,N/A,3h 57m,https://www.google.com/maps/dir/?api=1&origin=M40%200FS&destination=W12%20Shopping%20Centre%2C%20Unit%208%2C%20Greater%20London%2C%20England%2C%20W12%208PP%2C%20GB,https://tcg.ravensburgerplay.com/events/791058,,£35.00,2026-07-22T18:55:01.307148
2026-07-23,Attack of the Vine Prerelease (Sealed),Lionsheart Bookshop and Cafe,"67 Commercial Way, Woking, England, GU21 6HN, GB",GU21 6HN,11,N/A,4h 0m,https://www.google.com/maps/dir/?api=1&origin=M40%200FS&destination=67%20Commercial%20Way%2C%20Woking%2C%20England%2C%20GU21%206HN%2C%20GB,https://tcg.ravensburgerplay.com/events/793854,,£0.00,2026-07-23T19:16:48.238888
2026-07-23,Attack of the Vine Prerelease (Sealed),Food and Board,"32-42 Tudor Drive, Food and Board, Yateley, England, GU466BY, GB",GU466BY,14,N/A,4h 1m,https://www.google.com/maps/dir/?api=1&origin=M40%200FS&destination=32-42%20Tudor%20Drive%2C%20Food%20and%20Board%2C%20Yateley%2C%20England%2C%20GU466BY%2C%20GB,https://tcg.ravensburgerplay.com/events/758353,,£34.99,2026-07-18T01:59:50.812001
2026-07-23,Attack of the Vine Prerelease (Sealed),Accent Gaming (Dunfermline) LTD,"15 New Row, Dunfermline, Scotland, KY12 7EA, GB",KY12 7EA,16,N/A,4h 29m,https://www.google.com/maps/dir/?api=1&origin=M40%200FS&destination=15%20New%20Row%2C%20Dunfermline%2C%20Scotland%2C%20KY12%207EA%2C%20GB,https://tcg.ravensburgerplay.com/events/747296,,£32.00,2026-07-18T01:59:46.845514
2026-07-23,Attack of the Vine Prerelease (Sealed),The Ludoquist,"63-67 High Street, London, England, CR0 1QE, GB",CR0 1QE,15,N/A,4h 33m,https://www.google.com/maps/dir/?api=1&origin=M40%200FS&destination=63-67%20High%20Street%2C%20London%2C%20England%2C%20CR0%201QE%2C%20GB,https://tcg.ravensburgerplay.com/events/727316,,£30.00,2026-07-18T01:59:49.571065
2026-07-23,Attack of the Vine Prerelease (Sealed),Dice & Destiny,"79 Northgate, Canterbury, CT1 1BA, GB",CT1 1BA,10,N/A,5h 3m,https://www.google.com/maps/dir/?api=1&origin=M40%200FS&destination=79%20Northgate%2C%20Canterbury%2C%20CT1%201BA%2C%20GB,https://tcg.ravensburgerplay.com/events/793709,,£0.00,2026-07-23T16:12:13.426660
2026-07-23,Attack of the Vine Prerelease (Sealed),Highlander Games Ltd,"102 Annfield Road, 102, Dundee, Scotland, DD1 5JH, GB",DD1 5JH,8,N/A,5h 13m,https://www.google.com/maps/dir/?api=1&origin=M40%200FS&destination=102%20Annfield%20Road%2C%20102%2C%20Dundee%2C%20Scotland%2C%20DD1%205JH%2C%20GB,https://tcg.ravensburgerplay.com/events/714344,,£30.00,2026-07-18T01:59:36.182923
2026-07-23,Attack of the Vine Prerelease (Pack Rush),Game District Aberdeen,"177 Union Street, Aberdeen, Scotland, AB11 6BB, GB",AB11 6BB,6,N/A,6h 25m,https://www.google.com/maps/dir/?api=1&origin=M40%200FS&destination=177%20Union%20Street%2C%20Aberdeen%2C%20Scotland%2C%20AB11%206BB%2C%20GB,https://tcg.ravensburgerplay.com/events/793807,,£8.00,2026-07-23T19:13:39.507628
2026-07-23,Attack of the Vine Prerelease (Sealed),Northern Card Gaming,"142 Frances Street, Ards and North Down, Newtownards, Northern Ireland, BT23 7DY, GB",BT23 7DY,12,N/A,8h 0m,https://www.google.com/maps/dir/?api=1&origin=M40%200FS&destination=142%20Frances%20Street%2C%20Ards%20and%20North%20Down%2C%20Newtownards%2C%20Northern%20Ireland%2C%20BT23%207DY%2C%20GB,https://tcg.ravensburgerplay.com/events/782857,,£35.00,2026-07-19T14:44:47.153452
