Date,Venue,Location,Postcode,Players signed up,Players at last set champ,Travel time,Route link,Event link,Last set champ link,Price,Created
2026-06-28,Clan Shots Gaming,"2 Pasture Road, Pasture Road, Goole, England, DN14 6HD, GB",DN14 6HD,8,8,2h 51m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=2%20Pasture%20Road%2C%20Pasture%20Road%2C%20Goole%2C%20England%2C%20DN14%206HD%2C%20GB,https://tcg.ravensburgerplay.com/events/713991,https://tcg.ravensburgerplay.com/events/509419,£0.00,2026-06-24T08:32:32.801635
2026-06-28,Element Games,"Hallam Street, 1st floor, Stockport, England, sk2 6pt, GB",SK2 6PT,16,15,3h 3m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=Hallam%20Street%2C%201st%20floor%2C%20Stockport%2C%20England%2C%20sk2%206pt%2C%20GB,https://tcg.ravensburgerplay.com/events/674934,https://tcg.ravensburgerplay.com/events/449441,£15.00,2026-06-15T00:22:20.336221
2026-06-28,Bulwark Games,"2a Church Rd, Bebington, England, CH63 7PH, GB",CH63 7PH,15,12,3h 18m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=2a%20Church%20Rd%2C%20Bebington%2C%20England%2C%20CH63%207PH%2C%20GB,https://tcg.ravensburgerplay.com/events/670018,https://tcg.ravensburgerplay.com/events/457545,£10.00,2026-06-15T00:22:23.559953
2026-06-28,Heroes,"Scarrots Lane, Unit 3, Newport, England, PO30 1JP, GB",PO30 1JP,8,8,3h 24m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=Scarrots%20Lane%2C%20Unit%203%2C%20Newport%2C%20England%2C%20PO30%201JP%2C%20GB,https://tcg.ravensburgerplay.com/events/649871,https://tcg.ravensburgerplay.com/events/457732,£10.00,2026-06-15T00:22:34.919601
2026-06-28,Bridge Troll Boardgame Café,"10A Angel Hill, Tiverton, England, ex16 6pe, GB",EX16 6PE,8,16,3h 46m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=10A%20Angel%20Hill%2C%20Tiverton%2C%20England%2C%20ex16%206pe%2C%20GB,https://tcg.ravensburgerplay.com/events/659586,https://tcg.ravensburgerplay.com/events/376607,£20.00,2026-06-15T00:22:24.245141
2026-06-28,The Kobolds Kettle,"8 Market Square, The Kobolds Kettle, Lytham St Annes, England, FY8 5LW, GB",FY8 5LW,12,12,3h 46m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=8%20Market%20Square%2C%20The%20Kobolds%20Kettle%2C%20Lytham%20St%20Annes%2C%20England%2C%20FY8%205LW%2C%20GB,https://tcg.ravensburgerplay.com/events/558793,https://tcg.ravensburgerplay.com/events/408892,£12.00,2026-06-15T00:22:30.468817
2026-06-28,Gamers@Hart,"Bovis House, Hartlepool, England, TS24 7SE, GB",TS24 7SE,8,8,4h 10m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=Bovis%20House%2C%20Hartlepool%2C%20England%2C%20TS24%207SE%2C%20GB,https://tcg.ravensburgerplay.com/events/605506,https://tcg.ravensburgerplay.com/events/434753,£15.00,2026-06-15T00:22:34.313712
2026-06-28,Geek Retreat Hartlepool,"105 York Road, Hartlepool, England, TS26 9DH, GB",TS26 9DH,12,10,4h 11m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=105%20York%20Road%2C%20Hartlepool%2C%20England%2C%20TS26%209DH%2C%20GB,https://tcg.ravensburgerplay.com/events/628556,https://tcg.ravensburgerplay.com/events/307099,£15.00,2026-06-15T00:22:31.749582
2026-06-28,Dark Star Gaming Limited ,"9 Moon St, Plymouth, England, PL4 0BB, GB",PL4 0BB,16,19,4h 40m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=9%20Moon%20St%2C%20Plymouth%2C%20England%2C%20PL4%200BB%2C%20GB,https://tcg.ravensburgerplay.com/events/628884,https://tcg.ravensburgerplay.com/events/434674,£10.00,2026-06-15T00:22:25.464725
2026-06-28,Pete's Games,"5-7, Southgate St, Launceston, England, PL15 9DP, GB",PL15 9DP,8,12,4h 41m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=5-7%2C%20Southgate%20St%2C%20Launceston%2C%20England%2C%20PL15%209DP%2C%20GB,https://tcg.ravensburgerplay.com/events/631456,https://tcg.ravensburgerplay.com/events/344706,£10.00,2026-06-15T00:22:27.161576
2026-06-28,West End Games Cafe,"442 Dumbarton Rd, Glasgow, Scotland, G11 6SE, GB",G11 6SE,12,8,6h 43m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=442%20Dumbarton%20Rd%2C%20Glasgow%2C%20Scotland%2C%20G11%206SE%2C%20GB,https://tcg.ravensburgerplay.com/events/720693,https://tcg.ravensburgerplay.com/events/488167,£15.00,2026-06-26T21:27:42.942955
2026-06-28,Browns Toy Shop,"17b High Street, Bonnybridge, Scotland, FK4 1BX, GB",FK4 1BX,10,10,6h 50m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=17b%20High%20Street%2C%20Bonnybridge%2C%20Scotland%2C%20FK4%201BX%2C%20GB,https://tcg.ravensburgerplay.com/events/635779,https://tcg.ravensburgerplay.com/events/448979,£20.00,2026-06-15T00:22:29.356227
2026-06-28,Game District Aberdeen,"177 Union Street, Aberdeen, Scotland, AB11 6BB, GB",AB11 6BB,9,N/A,9h 7m,https://www.google.com/maps/dir/?api=1&origin=MK45%205EJ&destination=177%20Union%20Street%2C%20Aberdeen%2C%20Scotland%2C%20AB11%206BB%2C%20GB,https://tcg.ravensburgerplay.com/events/635741,,£14.00,2026-06-15T00:22:32.784531
