Date,Venue,Location,Postcode,Players signed up,Players at last set champ,Travel time,Route link,Event link,Last set champ link,Price,Created
2026-07-05,Board in the City CIC,"38-40 Onslow Road, Southampton, England, SO14 0JG, GB",SO14 0JG,11,13,3h 2m,https://www.google.com/maps/dir/?api=1&origin=PE4%207DT&destination=38-40%20Onslow%20Road%2C%20Southampton%2C%20England%2C%20SO14%200JG%2C%20GB,https://tcg.ravensburgerplay.com/events/595134,https://tcg.ravensburgerplay.com/events/449165,£19.00,2026-06-15T00:22:52.191573
2026-07-05,Total Cards,"6 Maple Way, Newton Aycliffe, England, DL5 6BF, GB",DL5 6BF,11,N/A,3h 7m,https://www.google.com/maps/dir/?api=1&origin=PE4%207DT&destination=6%20Maple%20Way%2C%20Newton%20Aycliffe%2C%20England%2C%20DL5%206BF%2C%20GB,https://tcg.ravensburgerplay.com/events/616999,,£14.95,2026-06-15T00:22:47.726909
2026-07-05,RECOLLECT,"65-67 Watergate Street, Chester, England, CH1 2LB, GB",CH1 2LB,12,12,3h 9m,https://www.google.com/maps/dir/?api=1&origin=PE4%207DT&destination=65-67%20Watergate%20Street%2C%20Chester%2C%20England%2C%20CH1%202LB%2C%20GB,https://tcg.ravensburgerplay.com/events/670441,https://tcg.ravensburgerplay.com/events/481899,£5.00,2026-06-15T00:22:50.414237
2026-07-05,Comics Games & Coffee Worthing,"8 Montague Street, Worthing, England, BN11 1YJ, GB",BN11 1YJ,15,13,3h 10m,https://www.google.com/maps/dir/?api=1&origin=PE4%207DT&destination=8%20Montague%20Street%2C%20Worthing%2C%20England%2C%20BN11%201YJ%2C%20GB,https://tcg.ravensburgerplay.com/events/700638,https://tcg.ravensburgerplay.com/events/387039,£15.00,2026-06-18T15:45:59.227961
2026-07-05,Bath TCG,"4, Victoria Buildings, Lower Bristol Rd, Bath, England, BA2 3EH, GB",BA2 3EH,15,12,3h 14m,https://www.google.com/maps/dir/?api=1&origin=PE4%207DT&destination=4%2C%20Victoria%20Buildings%2C%20Lower%20Bristol%20Rd%2C%20Bath%2C%20England%2C%20BA2%203EH%2C%20GB,https://tcg.ravensburgerplay.com/events/543401,https://tcg.ravensburgerplay.com/events/275770,£10.00,2026-06-15T00:22:48.925037
2026-07-05,Geeks of the Galaxy,"51, Cheapside, Spennymoor, England, DL16 6QF, GB",DL16 6QF,19,16,3h 20m,https://www.google.com/maps/dir/?api=1&origin=PE4%207DT&destination=51%2C%20Cheapside%2C%20Spennymoor%2C%20England%2C%20DL16%206QF%2C%20GB,https://tcg.ravensburgerplay.com/events/675220,https://tcg.ravensburgerplay.com/events/474277,£25.00,2026-06-15T00:22:47.196959
2026-07-05,Duke's Gaming,"135 Osborne Road, Pontypool, Wales, NP4 6LT, GB",NP4 6LT,13,8,3h 26m,https://www.google.com/maps/dir/?api=1&origin=PE4%207DT&destination=135%20Osborne%20Road%2C%20Pontypool%2C%20Wales%2C%20NP4%206LT%2C%20GB,https://tcg.ravensburgerplay.com/events/683575,https://tcg.ravensburgerplay.com/events/500319,£17.50,2026-06-15T00:22:44.207893
2026-07-05,G3 Toys,"High Street, Unit 33, The Sovereign, Weston-Super-Mare, England, BS23 1HL, GB",BS23 1HL,8,8,3h 32m,https://www.google.com/maps/dir/?api=1&origin=PE4%207DT&destination=High%20Street%2C%20Unit%2033%2C%20The%20Sovereign%2C%20Weston-Super-Mare%2C%20England%2C%20BS23%201HL%2C%20GB,https://tcg.ravensburgerplay.com/events/627587,https://tcg.ravensburgerplay.com/events/455867,£15.00,2026-06-15T00:22:54.438246
2026-07-05,Firestorm Games Bridgend,"6 Caroline St, Bridgend, Wales, CF31 1DQ, GB",CF31 1DQ,8,10,3h 58m,https://www.google.com/maps/dir/?api=1&origin=PE4%207DT&destination=6%20Caroline%20St%2C%20Bridgend%2C%20Wales%2C%20CF31%201DQ%2C%20GB,https://tcg.ravensburgerplay.com/events/617044,https://tcg.ravensburgerplay.com/events/288585,£0.00,2026-06-15T00:22:44.751394
2026-07-05,Troll Trader Truro,"The Leats, The Leats, Truro, England, TR1 3AG, GB",TR1 3AG,12,8,6h 6m,https://www.google.com/maps/dir/?api=1&origin=PE4%207DT&destination=The%20Leats%2C%20The%20Leats%2C%20Truro%2C%20England%2C%20TR1%203AG%2C%20GB,https://tcg.ravensburgerplay.com/events/700871,https://tcg.ravensburgerplay.com/events/363487,£5.00,2026-06-18T18:48:00.609597
